case_id,province,city,group,infection_case,confirmed,latitude,longitude
1000001,Seoul,Guro-gu,TRUE,Guro-gu Call Center,79,37.508163,126.884387
1000002,Seoul,Dongdaemun-gu,TRUE,Dongan Church,24,37.592888,127.056766
1000003,Seoul,Eunpyeong-gu,TRUE,Eunpyeong St. Mary's Hospital,14,37.63369,126.9165
1000004,Seoul,Seongdong-gu,TRUE,Seongdong-gu APT,13,37.55713,127.0403
1000005,Seoul,Jongno-gu,TRUE,Jongno Community Center,10,37.57681,127.006
1000006,Seoul,Jung-gu,TRUE,Jung-gu Fashion Company,7,37.562405,126.984377
1000007,Seoul,from other city,TRUE,Shincheonji Church,6,-,-
1000008,Seoul,-,FALSE,etc,65,-,-
1100001,Busan,Dongnae-gu,TRUE,Onchun Church,34,35.21628,129.0771
1100002,Busan,from other city,TRUE,Shincheonji Church,8,-,-
1100003,Busan,Suyeong-gu,TRUE,Suyeong-gu Kindergarten,6,35.16708,129.1124
1100004,Busan,Haeundae-gu,TRUE,Haeundae-gu Catholic Church,6,35.20599,129.1256
1100005,Busan,Jin-gu,TRUE,Jin-gu Academy,4,35.17371,129.0633
1100006,Busan,from other city,TRUE,Cheongdo Daenam Hospital,1,-,-
1100007,Busan,-,FALSE,etc,32,-,-
1200001,Daegu,Nam-gu,TRUE,Shincheonji Church,4359,35.84008,128.5667
1200002,Daegu,-,FALSE,contact with patient,649,-,-
1200003,Daegu,from other city,TRUE,Cheongdo Daenam Hospital,2,-,-
1200004,Daegu,-,FALSE,etc,1056,-,-
1300001,Gwangju,from other city,TRUE,Shincheonji Church,9,-,-
1300002,Gwangju,-,FALSE,contact with patient,4,-,-
1300003,Gwangju,-,FALSE,overseas inflow,1,-,-
1300004,Gwangju,-,FALSE,etc,2,-,-
1400001,Incheon,from other city,TRUE,Guro-gu Call Center,18,-,-
1400002,Incheon,-,FALSE,contact with patient,5,-,-
1400003,Incheon,from other city,TRUE,Shincheonji Church,2,-,-
1400004,Incheon,-,FALSE,overseas inflow,1,-,-
1400005,Incheon,-,FALSE,etc,4,-,-
1500001,Daejeon,-,FALSE,contact with patient,8,-,-
1500002,Daejeon,from other city,TRUE,Shincheonji Church,2,-,-
1500003,Daejeon,from other city,TRUE,Seosan-si Laboratory,2,-,-
1500003,Daejeon,-,FALSE,etc,10,-,-
1600001,Ulsan,from other city,TRUE,Shincheonji Church,16,-,-
1600002,Ulsan,-,FALSE,contact with patient,6,-,-
1600003,Ulsan,-,FALSE,etc,6,-,-
1700001,Sejong,Eojin-dong,TRUE,Ministry of Oceans and Fisheries,28,36.504713,127.265172
1700002,Sejong,Boram-dong,TRUE,gym facility in Sejong,8,36.48025,127.289
1700003,Sejong,from other city,TRUE,Shincheonji Church,1,-,-
1700004,Sejong,-,FALSE,etc,3,-,-
2000001,Gyeonggi-do,from other city,TRUE,Guro-gu Call Center,32,-,-
2000002,Gyeonggi-do,from other city,TRUE,Shincheonji Church,28,-,-
2000003,Gyeonggi-do,Seongnam-si,TRUE,Bundang Jesaeng Hospital,22,37.38833,127.1218
2000004,Gyeonggi-do,Seongnam-si,TRUE,River of Grace Community Church,19,37.455687,127.161627
2000005,Gyeonggi-do,Suwon-si,TRUE,Suwon Saeng Myeong Saem Church,10,37.2376,127.0517
2000006,Gyeonggi-do,-,FALSE,overseas inflow,6,-,-
2000007,Gyeonggi-do,-,FALSE,etc,47,-,-
3000001,Gangwon-do,from other city,TRUE,Shincheonji Church,20,-,-
3000002,Gangwon-do,from other city,TRUE,gym facility in Cheonan,1,-,-
3000003,Gangwon-do,-,FALSE,etc,8,-,-
4000001,Chungcheongbuk-do,from other city,TRUE,Shincheonji Church,10,-,-
4000002,Chungcheongbuk-do,Goesan-gun,TRUE,Goesan-gun Jangyeon-myeon,11,36.82422,127.9552
4000003,Chungcheongbuk-do,-,FALSE,contact with patient,6,-,-
4000004,Chungcheongbuk-do,-,FALSE,etc,4,-,-
4100001,Chungcheongnam-do,Cheonan-si,TRUE,gym facility in Cheonan,104,36.81503,127.1139
4100002,Chungcheongnam-do,Seosan-si,TRUE,Seosan-si Laboratory,8,37.000354,126.354443
4100003,Chungcheongnam-do,-,FALSE,etc,3,-,-
5000001,Jeollabuk-do,-,FALSE,contact with patient,2,-,-
5000002,Jeollabuk-do,from other city,TRUE,Shincheonji Church,1,-,-
5000003,Jeollabuk-do,-,FALSE,overseas inflow,1,-,-
5000004,Jeollabuk-do,-,FALSE,etc,3,-,-
5100001,Jeollanam-do,from other city,TRUE,Shincheonji Church,1,-,-
5100002,Jeollanam-do,-,FALSE,overseas inflow,1,-,-
5100003,Jeollanam-do,-,FALSE,contact with patient,1,-,-
5100004,Jeollanam-do,-,FALSE,etc,1,-,-
6000001,Gyeongsangbuk-do,from other city,TRUE,Shincheonji Church,517,-,-
6000002,Gyeongsangbuk-do,Cheongdo-gun,TRUE,Cheongdo Daenam Hospital,119,35.64887,128.7368
6000003,Gyeongsangbuk-do,Bonghwa-gun,TRUE,Bonghwa Pureun Nursing Home,58,36.92757,128.9099
6000004,Gyeongsangbuk-do,from other city,TRUE,Pilgrimage to Israel,49,-,-
6000005,Gyeongsangbuk-do,Chilgok-gun,TRUE,Milal Shelter,25,36.0581,128.4941
6000006,Gyeongsangbuk-do,Gyeongsan-si,TRUE,Gyeongsan Seorin Nursing Home,22,35.782149,128.801498
6000007,Gyeongsangbuk-do,Gyeongsan-si,TRUE,Gyeongsan Jeil Silver Town,17,35.84819,128.7621
6000008,Gyeongsangbuk-do,Gyeongsan-si,TRUE,Gyeongsan Cham Joeun Community Center,16,35.82558,128.7373
6000009,Gyeongsangbuk-do,-,FALSE,etc,322,-,-
6100001,Gyeongsangnam-do,from other city,TRUE,Shincheonji Church,32,-,-
6100002,Gyeongsangnam-do,Geochang-gun,TRUE,Geochang Church,10,35.68556,127.9127
6100003,Gyeongsangnam-do,Geochang-gun,TRUE,Geochang-gun Woongyang-myeon,8,35.805681,127.917805
6100004,Gyeongsangnam-do,Changwon-si,TRUE,Hanmaeum Changwon Hospital,7,35.22115,128.6866
6100005,Gyeongsangnam-do,Changnyeong-gun,TRUE,Changnyeong Coin Karaoke,7,35.54127,128.5008
6100006,Gyeongsangnam-do,from other city,TRUE,Onchun Church,2,-,-
6100007,Gyeongsangnam-do,-,FALSE,etc,19,-,-
7000001,Jeju-do,-,FALSE,etc,4,-,-
