date,cold,flu,pneumonia,coronavirus
2016-01-01,0.11663,0.0559,0.15726,0.00736
2016-01-02,0.13372,0.17135,0.20826,0.0089
2016-01-03,0.14917,0.22317,0.19326,0.00845
2016-01-04,0.17463,0.18626,0.29008,0.01145
2016-01-05,0.17226,0.15072,0.24562,0.01381
2016-01-06,0.17272,0.14399,0.25081,0.01381
2016-01-07,0.1739,0.12408,0.25135,0.0119
2016-01-08,0.16735,0.12499,0.29044,0.01572
2016-01-09,0.13463,0.1019,0.2439,0.01036
2016-01-10,0.15135,0.33062,0.21108,0.00699
2016-01-11,0.18444,0.50643,0.26353,0.01299
2016-01-12,0.17963,0.34608,0.21962,0.01572
2016-01-13,0.17026,0.23244,0.22717,0.01163
2016-01-14,0.16535,0.40198,0.21962,0.01227
2016-01-15,0.16999,0.40853,0.2199,0.01081
2016-01-16,0.14081,0.22972,0.17163,0.00727
2016-01-17,0.1499,0.20881,0.15617,0.00599
2016-01-18,0.18926,0.30953,0.23681,0.01118
2016-01-19,0.17472,0.24899,0.19699,0.0129
2016-01-20,0.1739,0.24317,0.19663,0.01145
2016-01-21,0.16954,0.24217,0.19199,0.01245
2016-01-22,0.1589,0.23017,0.1849,0.01345
2016-01-23,0.14354,0.24471,0.14881,0.00963
2016-01-24,0.15554,0.22708,0.12599,0.00609
2016-01-25,0.18708,0.34608,0.20835,0.00927
2016-01-26,0.17026,0.35026,0.19226,0.01136
2016-01-27,0.5158,0.33535,0.19799,0.01054
2016-01-28,0.18508,0.37526,0.20208,0.01454
2016-01-29,0.16663,0.37398,0.19772,0.01499
2016-01-30,0.14799,0.35298,0.16263,0.00881
2016-01-31,0.15363,0.35371,0.14126,0.0099
2016-02-01,0.19844,0.64398,0.21481,0.01409
2016-02-02,0.20026,0.62743,0.2059,0.0129
2016-02-03,0.2019,0.61498,0.20508,0.01172
2016-02-04,0.21681,0.76734,0.21335,0.0109
2016-02-05,0.2179,0.92333,0.20935,0.01427
2016-02-06,0.17563,0.99815,0.18508,0.00881
2016-02-07,0.17154,0.72443,0.15526,0.00636
2016-02-08,0.17017,0.6437,0.14608,0.00581
2016-02-09,0.2089,0.76224,0.16954,0.00681
2016-02-10,0.23735,0.94451,0.21781,0.00799
2016-02-11,0.26653,1.35459,0.27326,0.00999
2016-02-12,0.2709,1.29496,0.23999,0.01399
2016-02-13,0.24172,1.18641,0.2149,0.00927
2016-02-14,0.21917,0.91733,0.17817,0.00672
2016-02-15,0.28108,1.75503,0.26499,0.00981
2016-02-16,0.25562,1.35777,0.23226,0.01009
2016-02-17,0.21844,0.9886,0.22308,0.01136
2016-02-18,0.21099,0.91279,0.21872,0.01181
2016-02-19,0.19608,0.77324,0.20581,0.0109
2016-02-20,0.16472,0.62498,0.16354,0.00799
2016-02-21,0.1799,0.92951,0.14863,0.00627
2016-02-22,0.21926,1.29477,0.2309,0.00809
2016-02-23,0.20472,1.08751,0.20208,0.00863
2016-02-24,0.19053,0.78843,0.21135,0.00999
2016-02-25,0.18144,0.70488,0.20117,0.01072
2016-02-26,0.17708,0.61043,0.20053,0.01099
2016-02-27,0.1439,0.4448,0.17072,0.00718
2016-02-28,0.13372,0.42498,0.1439,0.00654
2016-02-29,0.16799,0.52589,0.21381,0.00618
