date,time,test,negative,confirmed,released,deceased
2020-01-20,16,1,0,1,0,0
2020-01-21,16,1,0,1,0,0
2020-01-22,16,4,3,1,0,0
2020-01-23,16,22,21,1,0,0
2020-01-24,16,27,25,2,0,0
2020-01-25,16,27,25,2,0,0
2020-01-26,16,51,47,3,0,0
2020-01-27,16,61,56,4,0,0
2020-01-28,16,116,97,4,0,0
2020-01-29,16,187,155,4,0,0
2020-01-30,16,246,199,6,0,0
2020-01-31,16,312,245,11,0,0
2020-02-01,16,371,289,12,0,0
2020-02-02,16,429,327,15,0,0
2020-02-03,16,490,414,15,0,0
2020-02-04,16,607,462,16,0,0
2020-02-05,16,714,522,18,1,0
2020-02-06,16,885,693,23,2,0
2020-02-07,16,1352,1001,24,2,0
2020-02-08,16,2097,1134,24,2,0
2020-02-09,16,2598,1683,27,3,0
2020-02-10,16,3110,2552,27,4,0
2020-02-11,16,4325,3535,28,4,0
2020-02-12,16,5624,4811,28,7,0
2020-02-13,16,6511,5921,28,7,0
2020-02-14,16,7242,6679,28,7,0
2020-02-15,16,7734,7148,28,9,0
2020-02-16,16,8161,7647,29,9,0
2020-02-17,16,8718,7980,30,10,0
2020-02-18,16,9772,8923,31,12,0
2020-02-19,16,11173,9973,51,16,0
2020-02-20,16,13202,11238,104,16,1
2020-02-21,16,16400,13016,204,17,2
2020-02-22,16,21586,15116,433,18,2
2020-02-23,16,26179,17520,602,18,6
2020-02-24,16,32756,20292,833,24,8
2020-02-25,16,40304,25447,977,24,12
2020-02-26,16,53553,31576,1261,24,12
2020-02-27,16,66652,39318,1766,26,13
2020-02-28,16,81167,48593,2337,27,13
2020-02-29,16,94055,55723,3150,28,17
2020-03-01,16,98921,61825,3736,30,18
2020-03-02,0,109591,71580,4212,31,22
2020-03-03,0,125851,85484,4812,34,28
2020-03-04,0,136707,102965,5328,41,32
2020-03-05,0,146541,118965,5766,88,35
2020-03-06,0,164740,136624,6284,108,42
2020-03-07,0,178189,151802,6767,118,44
2020-03-08,0,188518,162008,7134,130,50
2020-03-09,0,196618,171778,7382,166,51
2020-03-10,0,210144,184179,7513,247,54
2020-03-11,0,222395,196100,7755,288,60
2020-03-12,0,234998,209402,7869,333,66
2020-03-13,0,248647,222728,7979,510,67
2020-03-14,0,261335,235615,8086,714,72
2020-03-15,0,268212,243778,8126,834,75
2020-03-16,0,274504,251297,8236,1137,75
2020-03-17,0,286716,261105,8320,1401,81
2020-03-18,0,295647,270888,8413,1540,84
2020-03-19,0,307024,282555,8565,1947,91
2020-03-20,0,316664,292487,8652,2233,94
