date,time,sex,confirmed,deceased
2020-03-02,0,male,1591,13
2020-03-02,0,female,2621,9
2020-03-03,0,male,1810,16
2020-03-03,0,female,3002,12
2020-03-04,0,male,1996,20
2020-03-04,0,female,3332,12
2020-03-05,0,male,2149,21
2020-03-05,0,female,3617,14
2020-03-06,0,male,2345,25
2020-03-06,0,female,3939,17
2020-03-07,0,male,2522,26
2020-03-07,0,female,4245,18
2020-03-08,0,male,2694,29
2020-03-08,0,female,4440,20
2020-03-09,0,male,2799,31
2020-03-09,0,female,4583,20
2020-03-10,0,male,2852,33
2020-03-10,0,female,4661,21
2020-03-11,0,male,2947,35
2020-03-11,0,female,4808,25
2020-03-12,0,male,2994,38
2020-03-12,0,female,4875,28
2020-03-13,0,male,3043,39
2020-03-13,0,female,4936,28
2020-03-14,0,male,3100,41
2020-03-14,0,female,4986,31
2020-03-15,0,male,3136,41
2020-03-15,0,female,5026,34
2020-03-16,0,male,3169,41
2020-03-16,0,female,5067,34
2020-03-17,0,male,3200,44
2020-03-17,0,female,5120,37
2020-03-18,0,male,3240,45
2020-03-18,0,female,5173,39
2020-03-19,0,male,3296,49
2020-03-19,0,female,5269,42
2020-03-20,0,male,3330,51
2020-03-20,0,female,5322,43
