date,cold,flu,pneumonia,coronavirus
2019-12-07,0.12408,0.24699,0.22144,0.01309
2019-12-08,0.11863,0.2539,0.19617,0.00836
2019-12-09,0.16308,0.4788,0.3318,0.01272
2019-12-10,0.13981,0.40789,0.30671,0.01881
2019-12-11,0.13972,0.39007,0.30299,0.01854
2019-12-12,0.13954,0.38226,0.30526,0.0199
2019-12-13,0.14217,0.44098,0.28344,0.01881
2019-12-14,0.11363,0.35898,0.21672,0.01499
2019-12-15,0.12445,0.35189,0.20381,0.01163
2019-12-16,0.16417,0.66434,0.33217,0.01536
2019-12-17,0.16172,0.59634,0.30362,0.02245
2019-12-18,0.15063,0.56607,0.2918,0.01999
2019-12-19,0.16935,0.56161,0.28608,0.0189
2019-12-20,0.15226,0.50853,0.26899,0.01854
2019-12-21,0.12899,0.43062,0.2249,0.01599
2019-12-22,0.1409,0.44362,0.1919,0.01427
2019-12-23,0.19126,0.75988,0.3008,0.01772
2019-12-24,0.15881,0.60034,0.26544,0.02418
2019-12-25,0.15608,0.41498,0.19963,0.01163
2019-12-26,0.18417,0.83261,0.29299,0.01518
2019-12-27,0.18044,0.77006,0.26662,0.02363
2019-12-28,0.16663,0.62289,0.22535,0.01609
2019-12-29,0.15826,0.57089,0.21626,0.01181
2019-12-30,0.18126,0.8857,0.31562,0.02054
2019-12-31,0.16581,0.64488,0.31153,0.02236
2020-01-01,0.14454,0.48434,0.4488,0.01699
2020-01-02,0.19508,0.85751,0.36471,0.01827
2020-01-03,0.19581,0.80443,0.46598,0.02845
2020-01-04,0.60343,0.86961,0.49571,0.02136
2020-01-05,0.20081,0.84152,0.41644,0.01927
2020-01-06,0.23081,1.1816,0.66088,0.03154
2020-01-07,0.20853,0.96233,0.5777,0.03927
2020-01-08,0.1949,0.81824,11.3932,0.02636
2020-01-09,0.1979,0.77115,8.93,39.62181
2020-01-10,0.17854,0.72197,0.62352,11.13921
2020-01-11,0.15872,0.5578,0.66398,0.50434
2020-01-12,0.16199,0.50962,0.42062,0.21144
2020-01-13,0.17744,0.83315,0.56871,0.19244
2020-01-14,0.16708,0.7147,0.49453,0.25108
2020-01-15,0.15999,0.5947,0.48116,0.15535
2020-01-16,0.16754,0.5917,0.79143,0.38498
2020-01-17,0.1659,0.56916,0.79361,0.55043
2020-01-18,0.14345,0.42089,0.55216,0.26262
2020-01-19,0.15217,0.39953,0.61598,0.32662
2020-01-20,0.19217,0.70343,3.63716,20.6961
2020-01-21,0.22462,0.59789,4.31987,35.33284
2020-01-22,0.23808,0.56661,3.66416,29.74474
2020-01-23,0.30308,0.55625,3.18035,100
2020-01-24,0.34689,0.40226,2.48156,86.11541
2020-01-25,0.70888,0.39744,3.40926,62.84847
2020-01-26,0.96569,0.40126,3.43989,39.62772
2020-01-27,1.39513,0.50253,4.38777,57.07446
2020-01-28,1.56922,0.64298,4.5434,72.63073
2020-01-29,1.19978,0.49207,2.73,52.06261
2020-01-30,0.98978,0.44953,2.17811,45.93889
2020-01-31,1.35841,0.84061,2.1802,58.4187
2020-02-01,1.29296,0.79288,1.44032,41.5073
2020-02-02,1.4925,0.45298,1.37923,41.73647
2020-02-03,1.20932,0.49516,1.33886,50.1994
2020-02-04,1.06169,0.37907,0.99397,37.28806
2020-02-05,1.09323,0.34444,0.85588,35.23094
2020-02-06,1.03724,0.31644,0.79524,39.3959
2020-02-07,0.91715,0.25808,0.80733,31.71404
2020-02-08,0.89597,0.18081,0.53789,40.46614
2020-02-09,0.77052,0.17208,0.46189,36.07691
2020-02-10,0.63816,0.21499,0.50871,52.11234
2020-02-11,0.5338,0.17072,0.40544,18.13918
2020-02-12,0.47862,0.15281,0.37889,15.90997
2020-02-13,0.38444,0.13999,0.37753,15.08472
2020-02-14,0.32153,0.11808,0.2769,16.94803
2020-02-15,0.35944,0.10026,0.25471,10.34468
2020-02-16,0.35171,0.0899,0.35953,9.79906
2020-02-17,0.32426,0.12045,0.45144,10.98521
2020-02-18,0.32108,0.11963,1.00833,14.97945
2020-02-19,0.59207,0.13172,0.96769,40.75986
2020-02-20,0.98306,0.17026,1.15151,59.21885
2020-02-21,1.42804,0.17808,1.17051,72.15665
2020-02-22,1.91594,0.19472,1.27032,85.23907
2020-02-23,1.94203,0.19326,1.15841,82.90014
2020-02-24,1.78603,0.22708,1.17887,79.89478
2020-02-25,1.67058,0.20181,1.02206,79.95441
2020-02-26,1.42177,0.19281,0.87142,71.26268
2020-02-27,1.2255,0.18535,0.75252,71.07204
2020-02-28,1.24941,0.16544,0.6417,66.20619
2020-02-29,1.3085,0.16108,0.52989,61.04053
2020-03-01,1.23605,0.13754,0.44589,56.20422
2020-03-02,0.8816,0.13345,0.4408,60.86853
2020-03-03,0.67934,0.11917,0.39853,47.17367
2020-03-04,0.82579,0.1079,0.35671,39.84053
2020-03-05,0.64916,0.09745,0.31726,33.24218
2020-03-06,0.58625,0.09163,0.28071,29.61647
